date,Open,High,Low,Close,Adj_Close,Volume
2012-03-01,0.07,0.09,0.05,0.06,0.06,
2012-04-01,0.06,0.09,0.05,0.09,0.09,
2012-05-01,0.09,0.1,0.05,0.06,0.06,
2012-06-01,0.05,0.1,0.05,0.08,0.08,
2012-07-01,0.09,0.1,0.06,0.1,0.1,
2012-08-01,0.09,0.12,0.07,0.09,0.09,
2012-09-01,0.09,0.11,0.08,0.09,0.09,
2012-10-01,0.09,0.12,0.08,0.1,0.1,
2012-11-01,0.1,0.1,0.06,0.08,0.08,
2012-12-01,0.08,0.09,0.0,0.04,0.04,
2013-01-01,0.05,0.08,0.05,0.06,0.06,
2013-02-01,0.06,0.12,0.05,0.1,0.1,
2013-03-01,0.1,0.1,0.05,0.06,0.06,
2013-04-01,0.07,0.07,0.04,0.05,0.05,
2013-05-01,0.05,0.05,0.02,0.03,0.03,
2013-06-01,0.03,0.06,0.03,0.03,0.03,
2013-07-01,0.04,0.05,0.0,0.03,0.03,
2013-08-01,0.03,0.05,0.01,0.02,0.02,
2013-09-01,0.02,0.03,0.0,0.0,0.0,
2013-10-01,0.01,0.14,0.0,0.03,0.03,
2013-11-01,0.03,0.08,0.03,0.05,0.05,
2013-12-01,0.05,0.07,0.04,0.06,0.06,
2014-01-01,0.06,0.06,0.01,0.01,0.01,
2014-02-01,0.01,0.08,0.01,0.04,0.04,
2014-03-01,0.04,0.05,0.03,0.03,0.03,
2014-04-01,0.04,0.04,0.0,0.02,0.02,
2014-05-01,0.02,0.03,0.01,0.03,0.03,
2014-06-01,0.03,0.04,0.0,0.02,0.02,
2014-07-01,0.03,0.03,0.0,0.02,0.02,
2014-08-01,0.02,0.03,0.01,0.02,0.02,
2014-09-01,0.03,0.03,0.0,0.01,0.01,
2014-10-01,0.01,0.02,0.0,0.0,0.0,
2014-11-01,0.0,0.03,0.0,0.0,0.0,
2014-12-01,0.0,0.04,0.0,0.04,0.04,
2015-01-01,0.03,0.03,0.0,0.0,0.0,
2015-02-01,0.0,0.02,0.0,0.01,0.01,
2015-03-01,0.01,0.05,0.0,0.03,0.03,
2015-04-01,0.03,0.03,0.0,0.0,0.0,
2015-05-01,0.0,0.01,0.0,0.0,0.0,
2015-06-01,0.01,0.01,0.0,0.01,0.01,
2015-07-01,0.01,0.06,0.0,0.06,0.06,
2015-08-01,0.06,0.1,0.0,0.0,0.0,
2015-09-01,0.06,0.06,0.0,0.0,0.0,
2015-10-01,0.0,0.07,0.0,0.07,0.07,
2015-11-01,0.07,0.17,0.03,0.17,0.17,
2015-12-01,0.21,0.27,0.14,0.15,0.15,
2016-01-01,0.17,0.32,0.15,0.3,0.3,
2016-02-01,0.3,0.34,0.25,0.31,0.31,
2016-03-01,0.32,0.33,0.15,0.19,0.19,
2016-04-01,0.19,0.25,0.18,0.19,0.19,
2016-05-01,0.19,0.35,0.18,0.28,0.28,
2016-06-01,0.33,0.33,0.22,0.25,0.25,
2016-07-01,0.24,0.31,0.22,0.24,0.24,
2016-08-01,0.26,0.33,0.23,0.32,0.32,
2016-09-01,0.32,0.36,0.16,0.26,0.26,
2016-10-01,0.27,0.35,0.27,0.29,0.29,
2016-11-01,0.34,0.51,0.34,0.47,0.47,
2016-12-01,0.47,0.53,0.42,0.48,0.48,
2017-01-01,0.49,0.54,0.47,0.5,0.5,
2017-02-01,0.5,0.54,0.48,0.52,0.52,
2017-03-01,0.63,0.77,0.61,0.74,0.74,
2017-04-01,0.74,0.81,0.74,0.78,0.78,
2017-05-01,0.78,0.95,0.78,0.95,0.95,
2017-06-01,0.95,1.01,0.93,0.99,0.99,
2017-07-01,1.0,1.17,1.0,1.05,1.05,
2017-08-01,1.06,1.07,0.96,0.98,0.98,
2017-09-01,0.98,1.05,0.97,1.03,1.03,
2017-10-01,1.03,1.12,1.01,1.12,1.12,
2017-11-01,1.12,1.29,1.12,1.24,1.24,
2017-12-01,1.24,1.43,1.23,1.36,1.36,
2018-01-01,1.39,1.44,1.37,1.43,1.43,
2018-02-01,1.42,1.64,1.42,1.62,1.62,
2018-03-01,1.61,1.76,1.59,1.67,1.67,
2018-04-01,1.68,1.84,1.66,1.76,1.76,
2018-05-01,1.82,1.89,1.78,1.87,1.87,
2018-06-01,1.87,1.91,1.85,1.88,1.88,
2018-07-01,1.88,2.0,1.88,1.99,1.99,
2018-08-01,1.98,2.08,1.96,2.06,2.06,
2018-09-01,2.06,2.17,2.06,2.15,2.15,
2018-10-01,2.16,2.29,2.15,2.28,2.28,
2018-11-01,2.28,2.36,2.27,2.31,2.31,
2018-12-01,2.31,2.4,2.29,2.3,2.3,
2019-01-01,2.39,2.4,2.31,2.34,2.34,
2019-02-01,2.34,2.4,2.34,2.38,2.38,
2019-03-01,2.38,2.42,2.33,2.33,2.33,
2019-04-01,2.34,2.39,2.32,2.37,2.37,
2019-05-01,2.37,2.37,2.29,2.29,2.29,
2019-06-01,2.28,2.3,2.04,2.04,2.04,
2019-07-01,2.06,2.21,1.97,2.03,2.03,
2019-08-01,2.02,2.05,1.82,1.93,1.93,
2019-09-01,1.93,1.97,1.7,1.77,1.77,
2019-10-01,1.8,1.8,1.5,1.5,1.5,
2019-11-01,1.5,1.59,1.48,1.54,1.54,
2019-12-01,1.55,2.0,1.48,1.5,1.5,
2020-01-01,1.51,1.53,1.46,1.51,1.51,
2020-02-01,1.51,1.54,1.23,1.23,1.23,
2020-03-01,1.09,3.39,-0.23,0.03,0.03,
